version,get_latency,put_latency,get_throughput,put_throughput
4001,0.709794,0.502903,11270.9,15907.6
4002,0.632889,0.598114,12640.4,13375.4
4003,0.649338,0.516534,12320.2,15487.8
4004,0.624822,0.491948,12803.6,16261.9
4005,0.637155,0.507963,12555.8,15749.2
4006,0.643753,0.497269,12427.1,16087.9
4007,0.642901,0.512664,12443.6,15604.8
4008,0.638369,0.507638,12531.9,15759.3
4009,0.640983,0.52668,12480.8,15189.5
4010,0.631035,0.506705,12677.6,15788.3
4011,0.630935,0.74532,12679.6,10733.6
4012,0.628737,0.508766,12723.9,15724.3
4013,0.629481,0.499506,12708.9,16015.8
4014,0.624288,0.500915,12814.6,15970.8
4015,0.635823,0.505665,12582.1,15820.8
4016,0.636982,0.504415,12559.2,15860
4017,0.640585,0.507302,12488.6,15769.7
4018,0.632436,0.50646,12649.5,15795.9
4019,0.625762,0.508654,12784.4,15727.8
4020,0.629827,0.509245,12701.9,15709.5
