version,get_latency,put_latency,get_throughput,put_throughput
1001,0.333653,0.301072,23977,26571.7
1002,0.351431,0.297108,22764.1,26926.2
1003,0.375021,0.43035,21332.1,18589.5
1004,0.391223,0.30519,20448.7,26213.2
1005,0.357238,0.314202,22394,25461.3
1006,0.335808,0.301982,23823.1,26491.6
1007,0.340881,0.300368,23468.6,26634
1008,0.343383,0.300164,23297.6,26652.1
1009,0.341245,0.303157,23443.6,26389
1010,0.348814,0.301981,22934.9,26491.7
1011,0.364416,0.303943,21952.9,26320.7
1012,0.354735,0.30614,22552,26131.8
1013,0.365203,0.408326,21905.6,19592.2
1014,0.37367,0.323729,21409.3,24712
1015,0.377615,0.335545,21185.6,23841.8
1016,0.375553,0.34856,21301.9,22951.6
1017,0.377301,0.361686,21203.2,22118.6
1018,0.379822,0.363239,21062.5,22024.1
1019,0.38415,0.361187,20825.2,22149.2
1020,0.379526,0.352558,21078.9,22691.3
